resultId,raceId,driverId,fastestLap,fastestLapTime
1738,101,14,8,01:14.6
1739,101,31,10,01:14.4
1740,101,17,65,01:14.9
1741,101,42,65,01:14.6
1742,101,11,29,01:14.6
1743,101,21,39,01:15.6
1744,101,32,33,01:15.0
1745,101,15,9,01:14.4
1746,101,22,59,01:15.0
1747,101,13,61,01:16.2
1748,101,44,59,01:14.2
1749,101,45,63,01:16.1
1750,101,47,18,01:18.8
1751,101,46,52,01:18.4
1752,101,2,20,01:16.9
1753,101,43,20,01:15.1
1754,101,8,10,01:13.8
1755,102,30,29,01:19.1
1756,102,22,29,01:19.2
1757,102,4,49,01:20.3
1758,102,31,49,01:20.7
1759,102,18,47,01:20.4
1760,102,11,10,01:21.0
1761,102,42,48,01:20.5
1762,102,21,53,01:21.0
1763,102,14,67,01:21.1
1764,102,17,45,01:20.8
1765,102,44,50,01:21.3
1766,102,2,68,01:21.5
1767,102,32,45,01:22.5
1768,102,46,65,01:24.6
1769,102,47,63,01:24.9
1770,102,45,43,01:22.9
1771,102,15,10,01:20.7
1772,102,41,13,01:22.5
1773,102,13,14,01:21.9
1774,102,8,6,01:21.7
1775,103,8,42,01:45.1
1776,103,30,28,01:45.5
1777,103,22,43,01:45.7
1778,103,13,29,01:47.6
1779,103,21,11,01:46.8
1780,103,32,11,01:47.5
1781,103,14,11,01:46.6
1782,103,44,29,01:47.8
1783,103,15,9,01:45.9
1784,103,41,26,01:47.6
1785,103,2,40,01:50.5
1786,103,31,36,01:46.5
1787,103,42,26,01:46.7
1788,103,18,26,01:47.2
1789,103,47,25,01:51.0
1790,103,4,9,01:45.9
1795,104,22,41,01:21.0
1796,104,30,35,01:21.4
1797,104,18,13,01:22.7
1798,104,11,32,01:22.7
1799,104,31,32,01:22.9
1800,104,14,24,01:22.9
1801,104,42,32,01:22.2
1802,104,21,51,01:22.6
1803,104,17,53,01:23.1
1804,104,15,52,01:22.9
1805,104,41,52,01:23.4
1806,104,13,50,01:22.9
1807,104,32,29,01:23.4
1808,104,2,23,01:24.2
1809,104,47,31,01:26.4
1810,104,4,31,01:22.9
1811,104,45,13,01:24.1
1812,104,46,24,01:26.4
1813,104,8,11,01:23.4
1815,105,22,28,01:32.5
1816,105,18,33,01:32.9
1817,105,8,53,01:32.9
1818,105,4,55,01:33.6
1819,105,31,34,01:33.1
1820,105,11,36,01:33.5
1821,105,21,25,01:33.5
1822,105,13,43,01:33.5
1823,105,14,26,01:33.7
1824,105,17,32,01:34.9
1825,105,35,55,01:35.0
1826,105,30,55,01:32.2
1827,105,2,55,01:34.7
1828,105,44,51,01:34.6
1829,105,10,54,01:34.9
1830,105,47,51,01:37.6
1831,105,46,23,01:37.4
1832,105,23,31,01:33.5
1833,105,41,24,01:34.3
1834,105,32,10,01:36.9
1835,106,30,41,01:32.8
1836,106,23,23,01:33.5
1837,106,18,33,01:33.8
1838,106,11,28,01:33.7
1839,106,4,29,01:34.3
1840,106,8,35,01:33.9
1841,106,31,30,01:33.8
1842,106,21,44,01:33.9
1843,106,13,40,01:33.6
1844,106,35,28,01:35.3
1845,106,15,52,01:34.6
1846,106,32,32,01:35.3
1847,106,2,25,01:35.5
